SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity,Danger
6.1,0.68,25.3,36,30,4.9,24.73,0,0,0,1.82,23.72,68.47,1
3.7,0.55,31.9,45,23,3.61,19.09,0,0,0,2.3,19.81,70.99,1
4.3,0.58,29.3,43,29,4.51,24.43,0,0,0,1.82,19.97,69.67,1
4.5,0.58,30.2,46,26,3.17,22.79,0,0,0,1.65,20.2,69.92,1
6.3,0.54,35.2,46,23,2.84,20.17,0,0,0,2.43,20.7,70.1,1
5.7,0.73,26.3,43,30,4.1,25.79,0,0,0,1.88,21.03,67.46,1
2.1,0.46,37.5,37,13,1.77,10.76,0,0,0,1.11,20.94,67.7,1
6.2,0.69,27.1,48,37,7.2,29.4,0,0,0,1.96,20.76,69.36,1
4.2,0.89,22.3,49,33,6.53,26.87,0,0,0,0.96,20.56,68.55,1
4.7,0.72,27.6,41,31,5.25,25.44,0,0,0,1.78,20.44,70.11,1
4.5,0.66,32.6,42,25,3.15,21.63,0,0,0,2.26,20.01,71.3,1
3.4,0.55,31.4,42,24,4.03,20.29,0,0,0,2.17,19.95,73.01,1
3.8,0.59,32.6,45,24,3.08,20.9,0,0,0,2.33,19.83,72.36,1
4.3,0.64,30.7,45,28,3.37,24.54,0,0,0,2.21,19.12,67.65,1
6.6,0.7,25.8,49,41,8.49,32.64,0,0,0,1.86,19.77,65.55,1
6.9,0.57,34.1,46,27,3.56,23.5,0,0,0,2.34,19.49,68.04,1
5.1,0.74,26.8,42,34,5.85,28.14,0,0,0,1.66,19.55,66.72,1
2.4,0.47,35.6,40,14,1.68,12.64,0,0,0,1.08,19.58,66.86,1
4.1,0.57,29.6,49,26,4.01,22.11,0,0,0,2.25,18.6,68.84,1
4.7,0.94,21.6,52,38,8.01,30.47,0,0,0,0.93,19.68,65.43,1
4,0.58,28.9,48,29,5.01,24.13,0,0,0,2.12,18.72,70.65,1
5.1,0.6,26.1,46,34,5.49,28.87,0,0,0,1.71,18.99,68.45,1
6.4,0.74,25.1,44,34,5.53,28.61,0,0,0,1.79,19.69,63.64,1
4.5,0.62,31.3,49,28,3.73,24.01,0,0,0,2.21,18.89,69.15,1
5.8,0.59,25.9,47,30,4.77,25.57,0,0,0,1.51,19.04,67.15,1
4,0.6,21.2,51,29,5.06,23.78,0,0,0,2.29,18.68,71.63,1
2,0.48,23.6,42,16,2.59,12.95,0,0,0,0.96,19.46,72.83,1
4.2,0.65,23.8,51,30,4.41,25.44,0,0,0,2.26,19.02,71.74,1
3.9,0.59,21.7,53,31,5.7,25,0,0,0,2.13,18.67,74.42,1
4,0.71,25,47,31,4.77,26.41,0,0,0,2.34,19.37,69,1
7,0.64,18.6,50,36,9.23,27,0,0,0,1.73,19.12,72.46,1
5.1,1.07,9.8,54,46,13.8,32.56,0,0,0,0.91,19.98,67.66,1
7,0.77,19.1,51,49,12.99,35.92,0,0,0,1.79,20,66.47,1
7.3,0.77,18,49,40,8.91,30.98,0,0,0,1.82,19.69,68.12,1
8,0.57,26.9,47,30,5.52,24.26,0,0,0,2.4,19.76,70.95,1
6.7,0.64,20.1,51,34,6.17,27.47,0,0,0,1.5,19.24,72.29,1
5,0.83,20.3,54,40,9.27,30.38,0,0,0,1.66,19.84,69.17,1
4.4,0.54,34.3,44,23,3.27,19.47,0,0,0,2.04,24.43,73.29,1
2.3,0.41,38.3,37,11,1.48,9.68,0,0,0,0.98,24.94,69.87,1
4.5,0.58,40.1,40,22,2.13,19.63,0,0,0,1.99,24.57,74.79,1
4.3,0.53,35.1,45,25,4.04,20.88,0,0,0,1.8,24.43,75.86,1
2.7,0.59,42.1,37,23,3.01,20.22,0,0,0,2,24.82,72.25,1
5.4,0.71,34.8,49,30,4.67,25.65,0,0,0,1.49,25.19,72.55,1
5.2,0.9,25.3,43,35,7.53,27.67,0,0,0,0.82,25.37,70.13,1
7.2,0.62,33.8,41,36,5.36,30.14,0,0,0,1.75,25.25,68.6,1
6.2,0.71,33.3,41,29,3.79,24.83,0,0,0,1.6,25.18,69.69,1
7.2,0.48,42.5,42,19,2.37,16.97,0,0,0,2.14,24.48,72.81,1
7.5,0.55,33.4,39,26,3.27,22.45,0,0,0,1.37,24.42,73.91,1
5.7,0.56,31.1,42,30,5.07,24.83,0,0,0,1.52,24.55,75.48,1
4.5,0.52,52.2,35,19,2.41,16.22,0,0,0,2,26.93,69.4,0
2.6,0.38,48.9,34,9,1.26,8.07,0,0,0,1.13,27.11,68.1,0
6.4,0.57,48.7,43,25,2.71,21.83,0,0,0,1.5,26.91,69.24,1
5.6,0.74,38.9,37,28,4.14,23.48,0,0,0,0.83,27.42,67.68,1
6.8,0.5,44.9,34,21,2.18,18.98,0,0,0,1.35,26.33,72.45,0
4.3,0.47,46.5,44,21,3.03,17.78,0,0,0,1.71,26.72,72.98,1
5.8,0.5,43.4,39,23,2.94,20.54,0,0,0,1.58,26.68,71.93,1
5,0.51,51.8,38,18,1.84,15.91,0,0,0,2.04,26.71,71.83,1
5.8,0.63,48.1,38,22,2.19,19.77,0,0,0,1.57,27.42,65.96,1
7.9,0.51,46.9,40,27,2.82,23.79,0,0,0,1.88,27.3,66.16,1
4.2,0.47,45,38,19,2.02,16.55,0,0,0,2.13,26.61,71.11,1
5.1,0.4,58.5,42,12,0.78,11.1,0,0,0,2.15,26.42,70.67,1
4.6,0.35,33.7,17,15,3.76,11.22,0,0,0,2.12,29.63,76.86,0
3.9,0.33,28,18,16,3.66,12.3,0,0,0,1.77,29.63,78.82,0
4.2,0.32,32.5,18,14,2.4,11.14,0,0,0,2.26,29.61,78.29,0
1.7,0.23,34.1,12,6,1.05,4.76,0,0,0,1.25,29.35,74.26,0
3.6,0.31,29.3,12,14,2.59,11.41,0,0,0,2.31,29.61,77.25,0
4.3,0.33,27.8,21,17,2.83,13.67,0,0,0,1.73,29.28,77.99,0
4.9,0.33,29.1,12,15,2.37,12.56,0,0,0,1.41,28.6,81.69,0
3.9,0.24,36.2,20,9,1.67,6.87,0,0,0,2.45,28.76,77.27,0
4.3,0.48,31.2,19,16,2.03,13.76,0,0,0,1.77,29.93,73.79,0
7.2,0.33,28.2,22,20,3.76,16.64,0,0,0,2.09,29.48,75.05,0
4.9,0.54,21.6,15,21,4.88,16.38,0,0,0,0.82,29.63,75.56,0
5.8,0.37,28.4,22,19,3.43,15.63,0,0,0,1.62,28.96,77.72,0
8.2,0.28,18.1,14,20,4.81,14.98,0,0,0,2.12,29.37,77.2,0
4.4,0.34,17.2,13,18,4.2,13.86,0,0,0,1.64,28.56,80.4,0
4,0.33,22.4,11,18,6.62,11.04,0,0,0,2.01,29.4,77.44,0
4.2,0.49,12.4,10,20,5.74,14.62,0,0,0,0.81,28.93,78.27,0
3.8,0.26,20,12,15,3.36,11.5,0,0,0,1.86,28.77,78.94,0
3,0.25,21.5,4,12,2.67,9.06,0,0,0,2.48,29.05,79.97,0
4.4,0.25,19.5,0,14,3.03,10.57,0,0,0,1.61,28.54,83.16,0
3.7,0.31,21.5,11,14,3.8,10.54,0,0,0,2.13,28.78,80.79,0
3.2,0.17,25,11,7,1.66,5.77,0,0,0,2.46,28.6,78.48,0
1.4,0.18,23.6,8,6,1.51,4.01,0,0,0,1.25,28.63,76.88,0
3.5,0.41,20.8,9,15,2.75,12.18,0,0,0,1.78,29.24,77.36,0
3.7,0.28,19.5,8,16,4.17,11.58,0,0,0,1.8,29.09,81.27,0
4.3,0.26,25.7,14,13,2.62,9.97,0,0,0,2.36,30.48,75.53,0
3.1,0.25,23.5,6,12,2.73,9.72,0,0,0,2.7,30.36,77.39,0
3.8,0.28,23,15,14,3.34,10.24,0,0,0,2.32,30.09,74.5,0
3.3,0.17,28.5,15,7,1.54,5.92,0,0,0,2.66,29.83,75,0
3.8,0.27,21.1,12,15,3.71,11.13,0,0,0,2.06,30.53,77.8,0
7.1,0.24,22.2,15,18,3.85,13.76,0,0,0,2.43,30.84,73.99,0
4.7,0.44,15.8,11,18,3.98,14.3,0,0,0,0.89,30.54,75.01,0
4.1,0.42,22.9,13,15,2.75,12.56,0,0,0,1.86,30.72,73.37,0
3.9,0.25,22.2,10,13,2.38,10.32,0,0,0,1.76,29.95,79.34,0
1.7,0.19,26,11,6,1.52,4.94,0,0,0,1.43,30.1,73.32,0
5.4,0.26,21.1,17,17,3.75,13.04,0,0,0,1.78,30.05,77.74,0
3.7,0.26,20.7,17,15,3.03,11.9,0,0,0,2.08,30.04,75.84,0
4.7,0.36,21.2,13,17,4.02,12.83,0,0,0,2.09,28.99,77.05,0
4.4,0.32,19.2,11,18,4.63,13.34,0,0,0,1.9,29.51,79.57,0
5.7,0.32,23.3,12,16,3.32,12.55,0,0,0,2.01,29.45,77.82,0
6.3,0.32,18.6,13,20,4.52,15.07,0,0,0,1.82,28.87,81.46,0
5.8,0.5,13,10,21,5.1,15.97,0,0,0,0.86,29.53,77.45,0
12.8,0.35,18.2,15,23,5.95,17.18,0,0,0,2.05,29.71,77.12,0
4.8,0.47,19.6,12,18,3.65,14.14,0,0,0,1.61,29.82,75.55,0
3.2,0.18,27.3,12,7,1.33,5.6,0,0,0,2.35,28.87,78.05,0
4,0.23,21.2,10,12,2.53,9.34,0,0,0,1.66,29,81.56,0
4.1,0.3,19,13,16,3.53,12.94,0,0,0,1.99,29.04,77.6,0
3.6,0.28,22.4,5,13,3.58,9.86,0,0,0,2.63,29.38,79.37,0
1.7,0.19,21.3,0,6,1.39,4.71,0,0,0,1.41,28.94,75.66,0
3.4,0.36,21.2,13,17,4.76,12.34,0,0,0,2.21,27.7,78.68,0
3.5,0.39,21.6,17,21,5.86,15.41,0,0,0,1.73,27.73,78.69,0
5,0.42,26.8,20,19,4.31,14.78,0,0,0,1.84,27.89,75.94,0
6.5,0.45,21,21,26,6.32,19.25,0,0,0,1.44,27.54,79.19,0
9.2,0.4,21.3,22,28,7.77,20.39,0,0,0,1.88,28.32,74.3,0
5.9,0.65,18.1,18,28,7.53,20.3,0,0,0,0.83,28.2,74.63,0
5.2,0.54,20.2,21,23,4.44,18.16,0,0,0,1.63,28.24,72.85,0
4.8,0.28,29.5,18,13,2.37,10.65,0,0,0,2.11,27.2,76.8,0
5.1,0.36,20.6,17,19,4.32,14.75,0,0,0,1.53,27.62,77.19,0
5.4,0.38,20.1,21,24,6.28,17.54,0,0,0,1.61,27.48,76.96,0
1.7,0.25,21.2,11,8,2.55,5.75,0,0,0,1.09,27.27,75.26,0
4.3,0.43,24.7,20,20,4.62,14.93,0,0,0,1.72,27.36,75.5,0
5.6,0.44,39.7,30,18,2.44,15.67,0,0,0,1.69,25.74,72.41,0
4.6,0.48,44.6,36,18,2.35,15.76,0,0,0,1.95,25.56,70.88,1
6.7,0.72,37.2,34,28,4.38,23.89,0,0,0,0.89,26.14,70.3,0
4.8,0.5,46.2,36,18,2.28,15.3,0,0,0,2.15,25.78,71.36,1
4.4,0.48,39.8,34,20,3.05,17.36,0,0,0,1.98,25.65,74.03,0
6.1,0.64,34.2,36,24,2.7,21.73,0,0,0,1.71,26.29,68.23,1
5.3,0.38,47.4,31,14,1.66,12.49,0,0,0,2.39,25.28,72.28,0
2.7,0.4,37.4,26,11,1.61,9.4,0,0,0,1.29,25.96,70.68,0
4.4,0.48,37.3,34,18,2.87,15.06,0,0,0,2.43,25.5,74.2,0
8.7,0.49,37.2,31,28,4.52,23.46,0,0,0,2.01,26.31,69.64,0
8,0.53,38.9,37,26,4.18,22.28,0,0,0,1.57,25.67,74.86,1
5.7,0.48,37.1,38,25,3.89,21.21,0,0,0,1.85,25.48,73.4,1
7.2,0.77,29,39,33,5.52,27.31,0,0,0,0.85,22.91,69.7,1
6,0.42,38.6,34,19,2.35,16.33,0,0,0,2.31,22.14,72.3,0
4.8,0.52,29.9,37,22,3.29,18.85,0,0,0,2.4,21.79,73.61,1
6.2,0.54,29.5,45,29,4.98,23.87,0,0,0,1.99,21.98,72.08,1
6.4,0.7,27.5,42,29,3.9,25.21,0,0,0,1.72,22.88,67.71,1
7.9,0.59,28.8,39,31,5.36,26.04,0,0,0,1.69,22.25,70.71,1
9.5,0.56,29,36,33,5.5,27.37,0,0,0,1.98,22.96,68.88,1
2.4,0.41,33.2,38,12,2.11,10.24,0,0,0,1.31,22.62,70.1,1
5.4,0.56,33.3,41,23,3.35,20.01,0,0,0,2.12,22.39,70.71,1
5.1,0.56,34.5,39,24,3.81,20.24,0,0,0,2.06,22.09,70.04,1
4.7,0.52,31,42,26,4.54,21.51,0,0,0,2.03,22.14,73.33,1
6.6,0.52,31.3,40,24,3.55,20.92,0,0,0,1.74,22.51,70.35,1
5.7,0.66,25.5,37,33,6.31,27.1,0,0,0,1.73,19.66,71.63,1
7.1,0.59,24.5,34,38,8.64,29.22,0,0,0,2.04,20.49,67.92,0
5.5,0.81,22.7,36,36,7.76,28.18,0,0,0,0.9,20.61,67.08,1
7,0.64,24.1,34,31,5.73,25.37,0,0,0,1.89,20.11,68.56,0
7.1,0.46,31,32,25,4.92,20.5,0,0,0,2.61,19.94,72.22,0
3.8,0.48,27,36,25,4.94,19.98,0,0,0,2.34,19.19,74.63,1
5.3,0.49,28.1,36,26,4.03,22.06,0,0,0,1.73,19.91,70.17,1
3.9,0.51,25.5,34,23,3.78,18.89,0,0,0,2.58,18.94,74.84,0
2,0.39,29.9,32,12,2.89,9,0,0,0,1.22,19.89,73.05,0
5.9,0.53,25,39,30,6.25,23.6,0,0,0,2.17,19.23,72.02,1
4.1,0.58,28.9,39,25,4.03,20.73,0,0,0,2.4,19.65,71.17,1
3.8,0.55,29.9,36,24,3.92,20.42,0,0,0,2.39,19.35,70.54,1
4.8,0.57,33.2,55,32,6.06,25.67,0,0,0,2.06,0,68.54,1
7.5,0.7,30.8,51,44,9.24,35.2,0,0,0,1.97,0,60.8,1
6.8,1.04,28.2,55,47,9.74,36.97,0,0,0,0.85,0,62.94,1
2.3,0.45,36.7,43,14,3.15,10.65,0,0,0,1.08,0,67.78,1
7.4,0.63,30.3,53,37,7.03,29.53,0,0,0,1.87,0,64.76,1
6.6,0.82,33,56,41,7.9,33.43,0,0,0,1.54,0,65.76,1
8.9,0.56,40.2,51,28,3.78,23.92,0,0,0,2.53,0,66.45,1
5.3,0.68,36.5,56,29,4.24,24.65,0,0,0,2.12,0,64.08,1
5.1,0.59,31.1,49,28,4.52,23.52,0,0,0,2.34,0,69.04,1
5.5,0.69,36.5,56,30,3.5,26.3,0,0,0,2.22,0,63.58,1
6.8,0.58,35,54,30,3.92,26.49,0,0,0,1.57,0,62.81,1
8,0.78,30.4,54,36,5.17,30.63,0,0,0,1.76,0,61.59,1
8,0.63,25.7,66,33,5.5,27.84,0,0,0,1.63,0,69.14,1
5.9,0.84,21.5,62,41,8.44,32.9,0,0,0,1.56,0,70.54,1
7.6,0.76,22.1,62,49,13.13,36.2,0,0,0,2,0,66.03,1
5.3,0.61,23.2,57,29,4.87,24.32,0,0,0,2.52,0,73.87,1
5.5,0.7,25.9,68,32,4.56,27.56,0,0,0,2.46,0,68.53,1
6.5,1.06,19.9,57,47,10.82,35.91,0,0,0,0.83,0,67.47,1
7.3,0.64,21.5,57,37,7.88,29.51,0,0,0,2.05,0,69.28,1
10.4,0.66,22,43,34,6.77,27.52,0,0,0,2.61,0,71.09,1
8.9,0.77,21.2,59,39,8.49,30.87,0,0,0,2,0,67.64,1
2.3,0.49,28,56,16,2.53,13.43,0,0,0,1.09,0,74.22,1
4.9,0.6,24.9,58,32,5.79,26.39,0,0,0,2.3,0,71.67,1
5.5,0.65,26.4,60,30,4.14,25.51,0,0,0,2.51,0,68.66,1
7,0.74,31.2,60,37,6.14,30.38,2.338,0.333,2.006,0,0,71.74,1
9.3,0.69,29.6,62,41,7.51,33.92,2.287,0.331,1.956,0,0,68.15,1
7.1,0.97,27.4,55,40,7.58,32.74,2.58,0.474,2.106,0,0,69.5,1
8.5,0.73,29.7,57,33,4.76,28.34,2.46,0.398,2.062,0,0,72.8,1
5.7,0.61,35.6,60,26,3.4,22.11,2.31,0.244,2.066,0,0,70.75,1
4.9,0.55,32.7,55,26,4.74,21.49,2.151,0.208,1.943,0,0,73.52,1
7.9,0.5,34.4,42,23,2.75,20.16,2.282,0.175,2.107,0,0,73.64,1
6.7,0.57,32,61,26,3.25,23.22,2.272,0.269,2.004,0,0,72.06,1
5.4,0.57,31.2,57,25,3.99,21.22,0,0,0,0,0,73.13,1
7.2,0.6,28.6,55,34,6.16,27.77,2.365,0.319,2.047,0,0,72.65,1
2.5,0.44,32.1,53,14,2.43,11.26,0,0,0,0,0,75.11,1
5.2,0.62,33.4,62,27,3.39,23.29,2.235,0.245,1.99,0,0,71.09,1
6.5,0.45,40.3,38,25,3.37,21.89,2.222,0.233,1.989,0,0,71.6,1
5.8,0.34,45.3,35,15,1.65,13.16,2.128,0.127,2.001,0,0,71.94,0
6.5,0.58,40.9,45,23,2.27,21.06,2.314,0.291,2.023,0,0,67.36,1
4.6,0.42,42.6,47,18,2.08,16.37,0,0,0,0,0,71.62,1
4.5,0.43,44,46,21,3,17.51,2.042,0.162,1.88,0,0,71.31,1
7.1,0.53,42.6,50,27,3.43,24.04,2.118,0.24,1.879,0,0,66.6,1
5.5,0.42,41.7,46,18,1.99,16.48,2.146,0.198,1.948,0,0,70.4,1
2.4,0.34,44.2,41,10,1.63,8.43,0,0,0,0,0,71.74,1
7.8,0.48,41.4,47,28,3.59,23.96,2.11,0.206,1.904,0,0,67.61,1
5,0.48,47.7,51,19,2.44,16.8,2.201,0.198,2.003,0,0,68.46,1
4.9,0.49,44.5,50,20,2.08,17.53,2.117,0.179,1.938,0,0,69.01,1
6.6,0.73,37.7,42,30,4.18,25.6,2.393,0.362,2.031,0,0,68.67,1
4.3,0.38,39.2,38,17,3.04,14.42,2.019,0.186,1.833,1.67,0,76.23,1
4.3,0.4,44.7,39,15,2.67,12.11,2.101,0.15,1.951,1.81,0,75.29,1
4.2,0.55,37.3,36,18,1.85,15.92,2.264,0.264,2,1.74,0,72.25,1
8.6,0.43,37.4,38,21,3.11,18.24,2.053,0.167,1.886,2.06,0,73.66,1
6.5,0.42,39.3,38,20,2.88,17.49,2.057,0.186,1.871,1.65,0,72.31,1
6.1,0.63,34.5,31,22,3.56,18.83,2.263,0.268,1.995,0.81,0,74.71,0
4.6,0.42,41.4,40,14,1.95,12.44,2.041,0.147,1.894,1.97,0,74.43,1
1.6,0.27,37.6,29,7,1.53,5.43,0,0,0,0.99,0,78.23,0
5.1,0.38,38.2,34,18,2.52,15.6,2.086,0.173,1.913,1.77,0,76.99,0
3.7,0.36,38.2,37,14,1.92,12.17,0,0,0,2.2,0,77.44,1
4.3,0.38,37.3,39,15,2.25,12.93,2.142,0.157,1.985,1.38,0,77.48,1
3.6,0.23,42.6,28,8,1.29,6.67,2.04,0.067,1.973,2.33,0,77.72,0
4.5,0.34,21.4,24,17,5.09,11.9,1.989,0.159,1.83,0,0,80.54,0
4.3,0.47,18.3,20,17,3.23,13.96,2.146,0.238,1.908,0,0,77.4,0
10.2,0.35,18.1,20,21,5.65,15.41,1.982,0.194,1.788,0,0,78.01,0
6.6,0.31,18,22,20,5,15.19,2.012,0.213,1.799,0,0,76.82,0
6.2,0.5,15.8,14,21,5.22,15.8,2.161,0.253,1.907,0,0,78.17,0
2.9,0.15,24.3,14,8,1.65,6.46,1.967,0.07,1.898,0,0,78.52,0
5,0.3,20,21,18,5.17,13.11,1.966,0.217,1.749,0,0,79.93,0
1.1,0.16,22.5,12,6,1.74,4.03,0,0,0,0,0,83.02,0
5.1,0.3,18.9,17,18,4.17,14.15,2.02,0.163,1.857,0,0,80.85,0
3.7,0.25,20.8,18,14,3.33,10.47,0,0,0,0,0,80.77,0
3.6,0.25,19.2,19,12,2.72,9.75,2.043,0.125,1.918,0,0,82.36,0
5.1,0.32,19.4,20,15,3.83,11.35,1.957,0.158,1.799,0,0,78.25,0
5.2,0.33,20.6,25,19,5.98,12.69,1.989,0.167,1.821,0,0,74.03,0
4.2,0.43,18.4,21,17,3.23,13.34,2.12,0.227,1.893,0,0,68.96,0
8.3,0.31,18.2,20,20,5.79,14.25,1.976,0.208,1.768,0,0,71.85,0
7.7,0.31,16.6,21,21,5.75,15.15,2.047,0.236,1.811,0,0,70.7,0
6.5,0.5,15.4,13,22,6.19,15.73,2.142,0.257,1.885,0,0,72.68,0
3,0.14,20.7,13,7,1.45,5.92,1.943,0.043,1.902,0,0,72.92,0
4.7,0.28,21.5,21,18,5.05,12.62,1.898,0.162,1.736,0,0,73.82,0
1.2,0.17,24.6,14,6,1.69,4.3,0,0,0,0,0,75.5,0
5.7,0.28,19.2,18,19,4.46,14.17,2.021,0.154,1.867,0,0,74.14,0
3.7,0.23,21.5,18,13,3.11,10.36,0,0,0,0,0,75.79,0
3.7,0.22,17.8,19,13,2.84,9.78,1.974,0.136,1.839,0,0,74.59,0
5.8,0.32,19,22,17,4.32,12.21,1.936,0.152,1.784,0,0,71.79,0
4.5,0.37,25,29,17,4.92,12.35,2,0.163,1.837,0,0,75.33,0
3.6,0.47,22.5,25,16,2.76,13.63,2.15,0.23,1.92,0,0,69.44,0
8.1,0.34,21.6,25,18,5.04,13.21,1.965,0.174,1.792,0,0,72.71,0
6.2,0.32,21.6,26,18,3.49,14.48,2.022,0.194,1.829,0,0,71.75,0
5.7,0.52,19.7,18,20,4.71,15.67,2.142,0.236,1.906,0,0,73.66,0
2.9,0.17,25.9,16,7,1.38,5.52,1.917,0.041,1.877,0,0,73.54,0
4.3,0.33,23.4,26,17,4.3,12.71,1.896,0.149,1.746,0,0,74.93,0
1.3,0.21,24.1,17,6,1.54,4.78,0,0,0,0,0,73.86,0
4.8,0.3,22.7,24,17,3.47,13.07,2.029,0.144,1.884,0,0,75.66,0
3.4,0.29,23.9,23,13,3.16,10.29,0,0,0,0,0,76.46,0
3.3,0.27,21.5,24,13,2.64,10.82,2.003,0.14,1.862,0,0,73.81,0
4.8,0.38,23.7,27,15,3.16,11.41,1.958,0.15,1.808,0,0,73.41,0
4.1,0.4,24.5,28,19,4.71,14.16,2.031,0.165,1.866,0,0,79.73,0
4.7,0.56,20.9,26,20,3.47,16.94,2.24,0.277,1.963,0,0,75.66,0
9,0.37,20.9,25,24,6.77,17.37,2.062,0.24,1.822,0,0,77.57,0
7.2,0.34,21.6,24,23,4.9,17.79,2.062,0.215,1.846,0,0,76.79,0
6.6,0.54,19.6,19,25,5.67,19.74,2.228,0.295,1.933,0,0,78.37,0
3.4,0.17,29.8,14,9,1.52,7.42,1.892,0.054,1.839,0,0,77.71,0
4.8,0.35,22.4,27,20,4.53,15.18,1.979,0.19,1.789,0,0,79.05,0
1.5,0.23,24.8,20,7,1.93,5.29,0,0,0,0,0,79.38,0
5.1,0.36,22.6,24,21,3.93,16.97,2.042,0.16,1.882,0,0,79.19,0
3.6,0.31,23.7,27,15,2.95,12.34,0,0,0,0,0,80.1,0
4,0.29,20.7,25,16,2.85,12.81,2.129,0.159,1.97,0,0,80.61,0
5,0.41,23.8,26,18,3.72,14.28,2.014,0.172,1.841,0,0,77.81,0
4.4,0.55,39.1,43,21,2.48,18.09,2.188,0.188,2.001,0,0,76.63,1
8.4,0.61,32.5,43,32,5.22,26.58,2.188,0.261,1.927,0,0,72.02,1
6.6,0.57,34.9,43,27,3.5,23.31,2.241,0.264,1.977,0,0,72.63,1
6.4,0.87,31.6,39,33,5.05,27.79,2.459,0.375,2.084,0,0,72.34,1
5,0.59,37.6,46,21,2.42,18.55,2.17,0.198,1.972,0,0,73.93,1
6.2,0.7,32.7,42,26,3.2,22.89,2.396,0.323,2.073,0,0,71.51,1
1.8,0.42,32.8,32,11,1.78,8.9,0,0,0,0,0,75.81,0
3.8,0.5,33.3,49,20,2.71,16.93,0,0,0,0,0,76.36,1
6.1,0.52,32.2,46,22,2.47,19.92,2.311,0.23,2.081,0,0,78.37,1
6.6,0.55,32.4,39,28,4.57,23.7,2.244,0.24,2.004,0,0,75.69,1
6.3,0.44,36.7,31,19,2.32,16.65,2.099,0.099,2,0,0,77.05,0
4.2,0.52,33.6,44,23,3.23,19.36,2.095,0.198,1.897,0,0,75.98,1
4.8,0.53,37,45,22,4.2,17.71,2.206,0.196,2.01,0,0,71.47,1
7.9,0.59,30.7,47,34,6.07,28.42,2.176,0.257,1.919,0,0,67.63,1
6.1,0.55,33.1,45,28,4.01,24.34,2.241,0.266,1.975,0,0,68.57,1
6.4,0.81,30,42,34,6.5,27,2.458,0.371,2.087,0,0,67.72,1
5.4,0.56,35.3,50,23,3.35,19.33,2.167,0.202,1.965,0,0,69.21,1
6.8,0.66,30.4,47,29,4.29,24.26,2.397,0.327,2.07,0,0,66.21,1
2.1,0.38,36.6,40,12,1.71,9.98,0,0,0,0,0,69.83,1
4,0.47,33,49,20,3.28,17.2,0,0,0,0,0,71.27,1
7.2,0.51,32.6,51,27,4.18,22.72,2.338,0.26,2.079,0,0,71.59,1
5.7,0.5,30.9,42,29,5.17,23.39,2.197,0.235,1.962,0,0,70.75,1
7.3,0.42,37.1,34,23,3.06,19.43,2.131,0.126,2.005,0,0,71.56,0
4.2,0.48,33.2,46,24,4.08,20.07,2.058,0.178,1.88,0,0,70.75,1
4,0.59,34.2,57,21,3.8,17.35,2.263,0.195,2.068,0,0,74.57,1
7.8,0.65,29.3,57,37,6.9,30.25,2.219,0.277,1.942,0,0,69.71,1
4.6,0.63,31.5,53,29,4.25,24.67,2.276,0.277,1.999,0,0,71.17,1
5.7,0.89,28.9,49,34,7.04,27.17,2.491,0.389,2.102,0,0,70.55,1
4.3,0.64,33,56,24,3.26,21.09,2.209,0.209,2,0,0,72.45,1
7.9,0.69,28.9,54,31,4.69,26.31,2.426,0.336,2.09,0,0,69.61,1
1.8,0.42,35.8,46,12,1.98,9.64,0,0,0,0,0,72.7,1
3.4,0.51,31.3,55,20,3.12,16.47,0,0,0,0,0,75.45,1
5.8,0.54,35.1,53,24,2.8,20.98,2.235,0.216,2.019,0,0,73.53,1
6.2,0.54,30.8,48,28,4.79,23,2.226,0.236,1.989,0,0,73.95,1
7.3,0.48,35.3,39,26,3.48,22.39,2.213,0.161,2.051,0,0,71.29,1
3.4,0.5,32.7,51,22,3.52,18.93,2.031,0.157,1.874,0,0,73.73,1
4.4,0.67,26.7,58,28,4.48,23.61,2.302,0.239,2.063,0,0,73.54,1
8.4,0.78,20.6,63,51,14.86,36.08,2.283,0.354,1.929,0,0,68.49,1
5,0.8,23.5,60,38,7.79,30.6,2.324,0.35,1.974,0,0,69.61,1
6,1.03,21.1,51,45,11.66,33.68,2.557,0.483,2.074,0,0,69.57,1
4.5,0.72,25.1,60,31,5.34,25.71,2.24,0.256,1.984,0,0,71.54,1
9.2,0.75,21.5,60,39,9.28,29.63,2.434,0.39,2.044,0,0,70.28,1
1.6,0.48,27.9,46,14,2.69,11.28,0,0,0,0,0,76.25,1
